====================================================================================================
 1. TOP 50 TRAIN (with OOS)
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
====================================================================================================
 TOP 20 HMA (OOS)
====================================================================================================
  #  key                                                        |    trd     WR%   edge   PF.p    PF$   EV.p       net$    DD%    Sh$
-------------------------------------------------------------------------------------------------------------------------------------
  1  HMA 89 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,400  28.62%  +5.00  1.309  1.297 +2.685  +17,293.6  50.64%  9.134
  2  HMA 55 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  7,898  28.54%  +4.92  1.307  1.292 +2.661  +18,165.9  68.92%  9.296
  3  HMA144 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  6,921  28.32%  +4.71  1.285  1.278 +2.496  +15,223.2  64.82%  8.340
  4  HMA 55 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  7,898  22.90%  +3.95  1.421  1.270 +2.694  +18,700.2 119.83%  8.346
  5  HMA 34 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,582  28.32%  +4.54  1.294  1.267 +2.556  +18,102.9  78.63%  8.964
  6  HMA 89 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  7,400  22.85%  +3.89  1.417  1.266 +2.669  +17,285.0  97.09%  7.976
  7  HMA144 CONFI  5 N5 ALL_FA long TP40 FIXED_S 8.0 indepe     | O  6,921  22.79%  +3.83  1.411  1.261 +2.637  +15,893.6 101.06%  7.591
  8  HMA 89 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,057  28.14%  +4.41  1.278  1.259 +2.434  +18,558.2  70.79%  8.953
  9  HMA 55 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,099  28.21%  +4.39  1.287  1.257 +2.495  +18,513.1  53.47%  8.934
 10  HMA144 CONFI  3 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,291  27.98%  +4.34  1.268  1.255 +2.351  +16,776.5  81.60%  8.445
 11  HMA 21 CONFI  5 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,315  28.03%  +4.30  1.275  1.252 +2.399  +18,635.3  96.82%  8.877
 12  HMA 89 CONFI  5 N5 ALL_FA long TP32 SETUP_F     indepe     | O  7,400  32.77%  +4.72  1.274  1.250 +2.237  +13,730.0  66.63%  8.316
 13  HMA144 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  8,890  27.94%  +4.25  1.265  1.249 +2.324  +17,609.7  87.71%  8.579
 14  HMA 34 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,464  28.13%  +4.26  1.283  1.248 +2.461  +18,639.3  67.52%  8.843
 15  HMA 21 CONFI  5 N4 ALL_FA long TP40 SETUP_F     indepe     | O  9,854  28.01%  +4.22  1.274  1.247 +2.391  +19,294.0  94.19%  8.961
 16  HMA 89 CONFI  2 N5 ALL_FA long TP40 SETUP_F     indepe     | O  9,636  27.96%  +4.17  1.267  1.243 +2.338  +18,638.0  81.11%  8.756
 17  HMA 55 CONFI  5 N5 ALL_FA long TP32 SETUP_F     indepe     | O  7,898  32.62%  +4.59  1.268  1.243 +2.184  +14,266.5  85.08%  8.368
